Date,Open,High,Low,Close,Adj Close,Volume
2019-05-30,96566.000000,97939.000000,96511.000000,97457.000000,97457.000000,4398200
2019-05-31,97420.000000,97992.000000,96792.000000,97030.000000,97030.000000,5089500
2019-06-03,97036.000000,97757.000000,96430.000000,97020.000000,97020.000000,4547900
2019-06-04,97020.000000,97723.000000,96593.000000,97380.000000,97380.000000,4293300
2019-06-05,97381.000000,97686.000000,95686.000000,95999.000000,95999.000000,3769100
2019-06-06,96002.000000,97462.000000,96002.000000,97205.000000,97205.000000,4054900
2019-06-07,97205.000000,98326.000000,97205.000000,97821.000000,97821.000000,3718500
2019-06-10,97828.000000,97856.000000,96782.000000,97467.000000,97467.000000,3584000
2019-06-11,97467.000000,98985.000000,97467.000000,98960.000000,98960.000000,4922400
2019-06-12,98960.000000,99240.000000,97831.000000,98321.000000,98321.000000,4948800
2019-06-13,98321.000000,99364.000000,98321.000000,98774.000000,98774.000000,5594000
2019-06-14,98776.000000,98981.000000,97601.000000,98040.000000,98040.000000,9184900
2019-06-17,98038.000000,98439.000000,97623.000000,97623.000000,97623.000000,3926300
2019-06-18,97633.000000,99412.000000,97633.000000,99404.000000,99404.000000,4524500
2019-06-19,99403.000000,100327.000000,98978.000000,100303.000000,100303.000000,4411300
2019-06-21,100305.000000,102100.000000,100305.000000,102013.000000,102013.000000,5490800
2019-06-24,102018.000000,102617.000000,101589.000000,102062.000000,102062.000000,3559800
2019-06-25,102061.000000,102061.000000,99890.000000,100093.000000,100093.000000,4469200
2019-06-26,100095.000000,101126.000000,100095.000000,100689.000000,100689.000000,5013800
2019-06-27,100689.000000,101025.000000,99421.000000,100724.000000,100724.000000,4154700
2019-06-28,100726.000000,101563.000000,100726.000000,100967.000000,100967.000000,4079900
2019-07-01,100973.000000,102432.000000,100973.000000,101340.000000,101340.000000,411600
2019-07-02,101342.000000,101565.000000,100073.000000,100605.000000,100605.000000,4951600
2019-07-03,100576.000000,102177.000000,100451.000000,102043.000000,102043.000000,4801200
2019-07-04,102047.000000,104022.000000,102047.000000,103636.000000,103636.000000,3978700
2019-07-05,103628.000000,104176.000000,102622.000000,104089.000000,104089.000000,4208400
2019-07-08,104090.000000,104679.000000,103988.000000,104530.000000,104530.000000,3500300
2019-07-10,104537.000000,106650.000000,104537.000000,105817.000000,105817.000000,6815700
2019-07-11,105818.000000,105886.000000,104814.000000,105146.000000,105146.000000,4845300
2019-07-12,105158.000000,105731.000000,103903.000000,103906.000000,103906.000000,4748000
2019-07-15,103909.000000,104578.000000,103495.000000,103803.000000,103803.000000,3995500
2019-07-16,103805.000000,104440.000000,103361.000000,103775.000000,103775.000000,4475800
2019-07-17,103775.000000,104453.000000,103712.000000,103856.000000,103856.000000,3818300
2019-07-18,103859.000000,104773.000000,103859.000000,104717.000000,104717.000000,4410900
2019-07-19,104716.000000,104723.000000,103388.000000,103452.000000,103452.000000,3484400
2019-07-22,103452.000000,104278.000000,103452.000000,103949.000000,103949.000000,3464400
2019-07-23,103949.000000,104430.000000,103518.000000,103704.000000,103704.000000,4050300
2019-07-24,103707.000000,104570.000000,103707.000000,104120.000000,104120.000000,4872700
2019-07-25,102991.000000,103464.000000,102390.000000,102655.000000,102655.000000,5804700
2019-07-26,102654.000000,103209.000000,102196.000000,102819.000000,102819.000000,5141400
2019-07-29,102817.000000,103483.000000,102461.000000,103483.000000,103483.000000,3559900
2019-07-30,103483.000000,103555.000000,102596.000000,102933.000000,102933.000000,4060500
2019-07-31,102946.000000,103129.000000,100950.000000,101812.000000,101812.000000,5072900
2019-08-01,101819.000000,104056.000000,101819.000000,102126.000000,102126.000000,7129100
2019-08-02,102122.000000,103180.000000,101667.000000,102674.000000,102674.000000,4923500
2019-08-05,102658.000000,102658.000000,99630.000000,100098.000000,100098.000000,5000400
2019-08-06,100098.000000,102178.000000,100098.000000,102164.000000,102164.000000,5074800
2019-08-07,102163.000000,102784.000000,100476.000000,102782.000000,102782.000000,5570600
2019-08-08,102811.000000,104282.000000,102811.000000,104115.000000,104115.000000,5538300
2019-08-09,104102.000000,104848.000000,103547.000000,103996.000000,103996.000000,4549300
2019-08-12,103946.000000,103946.000000,101621.000000,101915.000000,101915.000000,4509700
2019-08-13,101912.000000,103778.000000,101414.000000,103299.000000,103299.000000,5198900
2019-08-14,103270.000000,103270.000000,99955.000000,100258.000000,100258.000000,6485200
2019-08-15,100262.000000,101014.000000,98200.000000,99057.000000,99057.000000,6585300
2019-08-16,99059.000000,100567.000000,99059.000000,99806.000000,99806.000000,5483400
2019-08-19,99810.000000,100948.000000,98908.000000,99469.000000,99469.000000,4924000
2019-08-20,99472.000000,99665.000000,98002.000000,99222.000000,99222.000000,5235200
2019-08-21,99227.000000,101240.000000,99221.000000,101202.000000,101202.000000,5969700
2019-08-22,101209.000000,101469.000000,100011.000000,100011.000000,100011.000000,4495500
2019-08-23,100007.000000,100025.000000,97085.000000,97667.000000,97667.000000,5668800
2019-08-26,97687.000000,98436.000000,95961.000000,96430.000000,96430.000000,4136800
2019-08-27,96434.000000,97951.000000,95855.000000,97276.000000,97276.000000,6581700
2019-08-28,97273.000000,98346.000000,96557.000000,98194.000000,98194.000000,4350800
2019-08-29,98194.000000,100684.000000,98194.000000,100524.000000,100524.000000,5163300
2019-08-30,100526.000000,101551.000000,100526.000000,101135.000000,101135.000000,6109600
